beta0,beta1,beta2,beta3,lambd1,lambd2,rmse
4.950470138225629,0.126103559304351,-1.2158747853280905,0.7915062277176579,2.0407099237399406,0.4181274382222985,0.037775847849464764
0.3280979561014935,2.496041275430017,14.999999999999885,2.184549923439511,17.821170628459974,2.4474614726973574,0.030858460892140657
8.0120901141293,-4.086318080146195,-0.00036501272209357206,-3.7360356841655062,0.25397674974114526,0.7714762479437942,0.059942070090691454
7.218234302679433,-2.421911296448951,-9.999994154051915,11.341727248803267,1.5597434212024779,1.364148229017816,0.04034903131194975
7.585776471169258,-3.9020974766970697,-0.00012056074120133232,-3.151042551682067,0.36580268812670047,0.9070874843696327,0.040947158238338485
7.002426221105508,-3.8716032368825473,-5.24032601456365,5.000429914034588,1.9895881357902645,1.8954061052409772,0.06015757512172201
5.0817500697980496,-0.42314661913737167,-1.2396300297181644,1.7281142722366043,2.267873187130604,0.29751701309429845,0.03665191520984186
4.808074352823788,0.2829751539301759,-1.7134198920280002,0.9319446759391024,1.7938039660371796,0.3943225622521481,0.037491993836923164
4.8420041116881,-0.2987412924296117,-1.400073371015437,2.2963417112593145,2.086123643987816,0.29119188196892287,0.03655271717667281
2.791525228957669,-2.694408715820473,-2.252059361444255,-1.3508533887355445,1.9108505573972903,1.9108803584295295,0.04085856413424217
7.7817797750999045,-4.994777134646955,0.0005354863819414177,-4.259304272933945,0.21189857861969263,0.688978754640127,0.048432014338815416
7.901690075146257,-9.992404246293674,5.978250439290358,14.999999977738431,0.4637327918338474,0.1092078424098594,0.03093783134491132
5.189589682262791,-0.6314151901094573,-0.13607275653216203,1.2043934657844013,3.2197849809917614,0.4474908068851597,0.03756090372696543
4.990088415971603,-1.8157661146569264,-1.1852658161926182,2.969009228633896,1.7186059958786404,0.2873883122198371,0.03398251861120495
2.2536674143257347,-2.087528189151169,-0.0002008804777451296,-1.361282674906523,2.6060330179211952,0.6854928942076591,0.0280028232853659
5.245767063225434,-0.5874352932594492,-0.6152282881043,1.2001424336020585,1.795278968202961,0.3012377173722488,0.028696676262850596
8.295733893610409,-4.035882212583715,0.0002159510241230656,-3.4162111965245154,0.24510415090419496,0.6416086649520634,0.04677096217478774
3.077585224961241,-2.993822310496225,-0.0002296263049477909,0.766945374668221,5.629375877327577,0.9405223540198884,0.05336079892241157
4.6483407987232725,-2.8376967370944484,-2.6123177929994017,4.760013799648353,1.5401940700473231,0.30478595072927656,0.04001106907520175
2.8281321692602157,-2.7371137584066183,-2.331095166735704,-1.349443986289638,1.8343805655913805,1.8343910582794831,0.03631921677042126
1.9467591763279242,-1.8542509916937304,3.8416509037108932,-1.8734402187418802,9.220202265358179,2.1587685666325207,0.0184699958700502
3.065760640916289,-3.034521106947472,-4.7422891222968506e-05,0.790208478697008,5.467919891728555,0.615428423814932,0.05193031345600295
8.888316235524988,-8.701350046968239,-9.999999999999998,5.604864562543677,19.999999999999915,7.328843493180866,0.02711662909893222
7.7229630028735645,-4.045645477554226,7.405475962817242e-05,-3.8475539006695945,0.33573773137259266,0.8567214438374752,0.05080065934208656
6.986321485619781,-2.0496657935325713,9.942937351604144,-9.999999999856858,1.6555416864619328,1.796932622210882,0.040916403744389686
7.53727216122905,-4.383846680105804,-0.000391584101408062,-2.947417252155231,0.5866433072939187,1.0749569737939193,0.05846216018801338
2.286718008656193,-2.198343206346887,-1.57177182136445,-0.5458826845287997,2.398374157352373,0.8357864181666225,0.022748958727206663
7.0568777517421095,-2.235163100030289,6.379260901932885e-06,2.594667627648639,2.529134753011581,0.875980025872702,0.05015020624783206
3.3709814452285807,-2.853601674644042,9.352232413200435e-06,-0.4036021935093704,3.618377699899011,0.16576050683326124,0.03478930764955999
6.38276405710081,-1.20536893280695,-9.450372607126285,9.31882352617433,2.404214790082651,2.223080406303862,0.05891641303958581
6.761364998143556,-1.8650623996440636,-9.999998969840599,10.190377241946763,1.913682632026341,1.771156262700029,0.05367998808637667
2.305158597382333,-2.223235230512929,-1.7670618843038768,-0.47013787217696645,2.30102423239484,0.9102461121974976,0.026099829817730152
7.70139518657976,-3.933149115402392,-0.0005346157222614492,-3.2684215148090234,0.4280638414578288,1.012729208195995,0.05004205634762989
